people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Steve Knight,0.35134175102949494,0.23704664014968463,0.1817182550008467,0.15340926764776627,0.15213909487916596,245,85,93,35,8,24,0,17510
Connie Conway,0.5716196561217599,0.3406511350059737,0.2624993506830814,0.2263412727827703,0.21760225806190722,195,82,71,22,6,14,0,13133
Diane Harkey,0.5222895885094128,0.2665315220660643,0.22489936259543558,0.2161449107173524,0.18011257262193203,262,123,61,33,14,31,0,13133
Brian Nestande,0.6187381356643622,0.4107481515782556,0.37997241471443904,0.28026334226515437,0.29321299685501945,272,104,87,35,9,33,4,13133
Jeff Gorell,0.5880102040816326,0.3632884972170687,0.39053803339517623,0.3000774472083564,0.2720980455333798,137,47,47,21,9,12,1,8468
Tom Ammiano,0.2336355434703557,0.11358605265356488,0.17160492936709576,0.07907148279524814,0.12476924564614789,395,68,194,23,49,61,0,13133
Manuel Perez,0.40354418655333985,0.2913733609385783,0.3095810177617958,0.17443060712585262,0.24726264496984596,368,68,174,20,33,70,3,13133
John Perez,0.2508676483755564,0.17104667059564044,0.1918368219680417,0.11877128773175324,0.13300099930148365,195,23,110,5,23,34,0,13133
Darrell Steinberg,0.20920594453426192,0.15092028354682252,0.16633917837748208,0.09146546075002783,0.12454766952640056,259,48,121,9,32,47,2,13133
Robert Blumenfield,0.19841795099286427,0.13721685661778674,0.15265986438775972,0.08773215210811199,0.11364580194442564,476,46,234,45,40,109,2,13133
Ronald Calderon,0.4080137377397336,0.33401144867872934,0.36056759266522104,0.20806061981217233,0.26863238268326556,235,75,116,4,14,26,0,13133
Lou Correa,0.5086789792210059,0.39600697809653035,0.40608815117848895,0.259768617212323,0.3126367753457103,399,105,199,12,34,49,0,13133
Dan Logue,0.5093324093324093,0.303996303996304,0.29179949179949183,0.21500254904753838,0.21808240261459716,217,93,63,31,9,21,0,13133
Mark Wyland,0.5583312112723877,0.4759570494864613,0.4787624140565317,0.2878920672578179,0.36442176188818376,330,138,134,8,8,42,0,13133
Bonnie Lowenthal,0.33037037037037037,0.1985185185185185,0.27740740740740744,0.1298138975169455,0.20029874275017515,280,50,145,12,29,43,1,13133
Tim Donnelly,0.36363636363636365,0.13636363636363635,0.09090909090909091,0.10299820304518,0.08636183303094386,132,79,23,20,1,9,0,8468
Joan Buchanan,0.40848061103535555,0.2736580127091076,0.33680917622523465,0.19283270486401594,0.23990989104431681,299,56,163,15,18,45,2,13133
Ellen Corbett,0.3054535040836411,0.23447472762541255,0.28812848675862374,0.15194924483171288,0.2233803627563057,225,32,131,6,28,28,0,13133
Mark DeSaulnier,0.39652329749103943,0.2996024763766699,0.34386933854675794,0.17067056890785495,0.26713125407103805,393,61,186,10,57,78,1,13133
Steve Fox,0.42,0.28,0.36,0.21033566516323743,0.238230699881172,100,36,45,2,7,10,0,4195
Allan Mansoor,0.38235294117647056,0.21384803921568626,0.14276960784313725,0.14726867446353364,0.12095066870301291,99,52,19,24,1,3,0,8468
Roger Dickinson,0.11428571428571428,0.07428571428571429,0.09714285714285714,0.04864001329311583,0.06750682162674407,350,31,175,19,23,101,1,8468
Wesley Chesbro,0.24855674451050172,0.17971837046981556,0.19282472461663214,0.11549744415066397,0.148848891421595,540,50,261,40,26,160,3,13133
Bill Emmerson,0.5819426615318785,0.49550706033376124,0.4428754813863928,0.2866744643842545,0.35424848852504304,234,72,103,10,12,36,1,13133
Noreen Evans,0.26228273071793984,0.1569106942391956,0.205870122955569,0.1008311588521234,0.16834066678694948,448,52,191,59,30,115,1,13133
Paul Fong,0.2854582604741134,0.14122839043574617,0.20751202577454955,0.09918851004693449,0.15239009782442642,277,49,122,25,35,45,1,13133
Curt Hagman,0.53934805005316,0.3174780305810851,0.268900002842338,0.22678060097855954,0.21190546056079637,283,114,92,37,7,33,0,13133
Norma Torres,0.3521495327102804,0.24232606438213916,0.28411214953271025,0.1534690684610366,0.21290852316228262,257,42,117,16,28,52,2,13133
Mariko Yamada,0.4004878048780488,0.24989159891598917,0.29688346883468836,0.16546397901406973,0.23391003259913923,257,55,124,20,24,34,0,13133
Roderick Wright,0.47113997113997114,0.4238415905082572,0.4317380150713484,0.2201014627719961,0.33311680170187213,204,47,101,3,13,39,1,13133
