bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1976415,1573598,2025-05-19,Assembly,"AB 828 Mark González Assembly Third Reading",75,0,0,4,79
1976416,1540833,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Revenue and Taxation] with recommendation: To Consent Calendar",15,0,0,0,15
1976416,1561082,2025-04-28,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1976416,1577745,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976417,1554604,2025-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",15,0,0,1,16
1976417,1577713,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976418,1534993,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",21,0,0,1,22
1976418,1565312,2025-05-05,Assembly,"AB 831 Ramos Assembly Third Reading",77,0,0,2,79
1976420,1529549,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976420,1577335,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976422,1556179,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",16,0,0,0,16
1976423,1540864,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1976423,1577489,2025-05-23,Assembly,"Do pass",13,0,0,2,15
1976424,1526954,2025-03-25,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,1,9
1976426,1558734,2025-04-21,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",14,0,0,0,14
1976426,1561025,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",11,0,0,1,12
1976426,1571632,2025-05-14,Assembly,"Do pass",15,0,0,0,15
1976426,1577166,2025-05-23,Assembly,"AB 839 Blanca Rubio Assembly Third Reading",71,0,0,8,79
1976428,1540882,2025-04-07,Assembly,"Do pass and be re-referred to the Committee on [Labor and Employment]",7,0,0,0,7
1976428,1557515,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1976428,1577424,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976430,1526991,2025-03-25,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",13,0,0,2,15
1976430,1577944,2025-05-23,Assembly,"Do pass",12,0,0,3,15
1976431,1533495,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Education]",2,6,0,1,9
1976432,1557498,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1976432,1577554,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976433,1540957,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources]",13,0,0,0,13
1976433,1558722,2025-04-21,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",14,0,0,0,14
1976433,1577518,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976434,1563118,2025-04-29,Assembly,"Do pass as amended",5,0,0,4,9
1976435,1554528,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976435,1577319,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976436,1562906,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",12,1,0,3,16
1976436,1577426,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976437,1556195,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",6,1,0,3,10
1976438,1526914,2025-03-25,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",12,0,0,0,12
1976438,1577479,2025-05-23,Assembly,"Do pass",12,0,0,3,15
1976440,1556150,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Judiciary]",11,1,0,3,15
1976440,1561162,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,3,12
1976440,1577897,2025-05-23,Assembly,"Do pass as amended",11,0,0,4,15
1976442,1561146,2025-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",7,0,0,0,7
1976444,1529534,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,2,0,0,9
1976445,1557474,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",5,1,0,1,7
1976445,1577155,2025-05-23,Assembly,"Do pass",10,3,0,2,15
1976446,1540951,2025-04-08,Assembly,"Do pass. To Consent Calendar",12,0,0,0,12
1976446,1552854,2025-04-21,Assembly,"AB 859 Macedo Consent Calendar Second Day Regular Session",73,0,0,6,79
1976447,1545000,2025-04-09,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976448,1556112,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Transportation]",7,1,0,2,10
1976449,1529546,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",7,2,0,0,9
1976450,1566709,2025-05-06,Assembly,"Do pass",8,3,0,1,12
1976451,1561024,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",7,0,0,0,7
1976451,1577775,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976452,1529509,2025-03-26,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976453,1540969,2025-04-08,Assembly,"Do pass and be re-referred to the Committee on [Banking and Finance]",12,0,0,0,12
1976453,1559471,2025-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976453,1577460,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976454,1533527,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",13,0,0,5,18
1976454,1556060,2025-04-23,Assembly,"Do pass",11,0,0,4,15
1976454,1559388,2025-04-28,Assembly,"AB 867 Lee Assembly Third Reading",72,0,0,7,79
1976456,1535068,2025-04-01,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",15,0,0,0,15
1976456,1577338,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976457,1555933,2025-04-22,Assembly,"Do pass. To Consent Calendar",16,0,0,0,16
1976457,1564212,2025-05-01,Assembly,"AB 870 Hadwick Consent Calendar Second Day",76,0,0,3,79
1976460,1540929,2025-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",17,0,0,1,18
1976460,1577960,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976462,1561140,2025-04-28,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
1976462,1571540,2025-05-14,Assembly,"Do pass. To Consent Calendar",15,0,0,0,15
1976462,1577315,2025-05-23,Assembly,"AB 875 Muratsuchi Consent Calendar Second Day Regular Session",71,0,0,8,79
1976463,1554484,2025-04-22,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,1,0,2,18
